id;tokens;original;classe
796509779761897472;shit electionday uselection2016;RT @explorandy: Shit 😂 #ElectionDay #USElection2016 #Florida #Trump https://t.co/SjxydJc3Cm;positive
796509952420487169;clinton rac sex disqual fel degr pity por brainwash lib;@BleacherReport Hillary Clinton's racism & sexism did disqualify her. I feel a degree of pity for you poor brainwashed liberals. 😰 #trump;negative
796509949182386176;first act presidenthapy remov "muslim ban" coment/cont websit new hero riz proud;#Trump 's first act as president: Remove "Muslim Ban" comment/content from his website 😉 N other news, Marcos a hero 😊 Rizal is PROUD 😁;positive
796509900742467584;folow opin doesnt count suck stil ev fraud vot hi…;RT @Cory_1077: @babyletus 41 followers 😂😂😂 Your opinion doesn't count. Suck it up! #Trump still won even with all the fraudulent voting #Hi…;positive
796509893327024129;didnt sen com elections2016 electionday;RT @dapperlaughs: 😂😂😂😂 Didn't seen that coming! #trump #Elections2016 #ElectionDay https://t.co/c52XU2Bt1d;positive
796510025237889024;tru ben spok electionday uselection2016;Truth has been spoken 😂👌 #Trump #ElectionDay #USElection2016 #HillaryClinton https://t.co/isoB7U2LfN;positive
796509985748484096;everyon bitch gav mom rid got fuck light got real problem lif stfu;Everyone bitching about #Trump. I just gave my mom a ride and she got out with my fucking lighter. I got REAL problems in my life. Stfu. 😁;positive
796509968392421378;gif election2016;RT @messi10stats: What a gif 😂😂😂😂 #Election2016 #Trump https://t.co/UF2xNWwsbs;positive
796510090782089216;breakinghapy cold interupt raly electionday;RT @Sporf: BREAKING: Stone Cold interrupts the Donald Trump rally. 😂 #ElectionDay (📽 @thrillis4) https://t.co/zJZAmoHlNY;positive
796510085061210112;electionday;RT @realmadridindo1: Trump 😂😂 #ElectionDay  https://t.co/LHuitrZRPY;positive
796510134117789697;sen lead certain stat itsno_tfunybutitsfuny dumptrump electionday election2016;RT @kuwdestiny: When she seen that Trump was leading in a certain state 😩😭😭 #itsnotfunnybutitsfunny #dumptrump #ElectionDay #Election2016 h…;negative
796510243211673600;word adv think com ripameric welcom op arm;Words of Advice to those that are thinking of coming here. #RipAmerica #Trump We welcome you with open arms 👍✌😂… https://t.co/bHejRRoGqV;positive
796510240439238656;let hop brok system us her post neolib revolv 1/9;Let's hope you broke the system USA. Here's to post neoliberalism & the #Revolution #11/9 #Trump 😯 https://t.co/yRajxhOKkC;negative
796510301499834368;wil tre saudiarab "king whoever"wont congrat presid;How #Trump will treat #SaudiArabia if .."king or whoever"..won't congratulate him on presidency 😕🙃😕🙃😳😳 https://t.co/aOhh5AkwDl;negative
796510389953380352;trump’s trumppresid cancela2016 elections2016 electionday notmypresid kind;RT @UAVPILOT07: + #Trump’s  #TrumpPresident  #Cancela2016  #Elections2016  #ElectionDay  #NotMyPresident  😄😄kind of !! https://t.co/04L7YFC…;positive
796510378863697920;lol actua am absolv want want want mag;@1capplegate LOL umm ACTUALLY.... WE AMERICANS ABSOLUTELY DO WANT THIS  WE WANT #TRUMP WE WANT TO #MAGA 😁😁🤗;positive
796510343056986112;everyon cry shut fuck;For everyone crying , SHUT THE FUCK UP😂 #trump https://t.co/aSJV3JdSOX;positive
796510330084016128;dont mind republ elect thing way thing got away saying/do stil elect;I don't mind that a #republican was elected. The thing for me is the way and things #Trump got away with saying/doing & still he is elected😔;negative
796510415350071296;presidentelecttrump mean wont pre on anym trumpwin trumptrain trumppence2016;#PresidentElectTrump Does this mean I won't have to press one for English anymore???😂😂😂 #trumpwins #TrumpTrain #TrumpPence2016 #trump;positive
796510410895659008;let hop brok system us her post neolib revolv 1/9;RT @carbonsaveruk: Let's hope you broke the system USA. Here's to post neoliberalism & the #Revolution #11/9 #Trump 😯 https://t.co/yRajxhOK…;negative
796510515170189312;what hap world sud hero presid 2016shockers;what's happening world..? suddenly #Marcos is a hero and #Trump is the US President 😧😑 #2016Shockers;negative
796510487211102208;wil last twet cnt son cnts peopl vot cnts fu…;RT @_AnimalAdvocate: This will be my last tweet about #Trump.  He is a C😡NT!  His sons! C😡NTs  The people who voted for him! C😡NTs!  The fu…;negative
796510685907730432;on election2016;RT @FootballFunnys: Best one 😂😂😂😂 #Election2016 #Trump https://t.co/AkOsb0XNGu;positive
796510840669224962;on election2016;RT @FootballFunnys: Best one 😂😂😂😂 #Election2016 #Trump https://t.co/AkOsb0XNGu;positive
796511079119482880;trumppresid electionnight yanoscargoelpayaso mor;#TrumpPresident #ElectionNight #TRUMP #YaNosCargoElPayaso Doble moral😢😡 https://t.co/cX5LsF2wF4;negative
796511070722686976;gif election2016;RT @messi10stats: What a gif 😂😂😂😂 #Election2016 #Trump https://t.co/UF2xNWwsbs;positive
796511276813914112;protest best get no_w caus wil put jail belong beanadult world ned growup;Protesters best get it all out now cause #trump will put your ass in jail were you belong! #beanadult 😒 the world needs to #growup;negative
796511378475339776;wil last twet cnt son cnts peopl vot cnts fu…;RT @_AnimalAdvocate: This will be my last tweet about #Trump.  He is a C😡NT!  His sons! C😡NTs  The people who voted for him! C😡NTs!  The fu…;negative
796511372523638784;gif election2016;RT @messi10stats: What a gif 😂😂😂😂 #Election2016 #Trump https://t.co/UF2xNWwsbs;positive
796511623334727680;peopl vot electionday;RT @SirAbiola: 😂 If Black People Voted For Donald Trump #ElectionDay https://t.co/QLqez43Rsv;positive
796511574902984704;lik okay bit get back;It's like I'm okay for a bit and then I get back on here and it's all #TRUMP #TRUMP #TRUMP and I'm 😡 again;negative
796511568846462977;comgrat msm pis away last shred cred stop didnt ev work;😂 COMGRATULATIONS #MSM! You PISSED AWAY the LAST SHRED of CREDIBILITY to STOP #Trump and It DIDN'T EVEN WORK! 😄   https://t.co/JbccXqefPp;positive
796511656767528960;lov celeb prom leav elect enjoy mag electionday;RT @Miami4Trump: These Lovely Celebs Promised To Leave If Trump Was Elected. Enjoy Them Canada. 😂 #MAGA  #ElectionDay https://t.co/DqbxQskq…;positive
796511786438684672;liv cor republ cant stop think saf muslim hard thnx;@harryonmen I live in Florida, core of republicans. I can't stop thinking about my safety. Being #muslim is hard 😞 thnx #trump;negative
796511726388641792;mayb americ vot hard next tim election2016 trumpwin whatdidyoudoameric;Maybe America should vote harder next time 😂 #Election2016 #Trump #TrumpWins #WhatDidYouDoAmerica?;positive
796511861483126785;folow opin doesnt count suck stil ev fraud vot hi…;RT @Cory_1077: @babyletus 41 followers 😂😂😂 Your opinion doesn't count. Suck it up! #Trump still won even with all the fraudulent voting #Hi…;positive
796511845045719046;peopl complain presid yet thousand peopl vot haramb;People are complaining about trump being president yet 15 thousand people voted for harambe over Hillary 😂😂 #trump;positive
796511822522228736;gif election2016;RT @messi10stats: What a gif 😂😂😂😂 #Election2016 #Trump https://t.co/UF2xNWwsbs;positive
796511901991784448;ooh hap;RT @NicolaAdamsMBE: Ooooohhh so this is how it happened #Trump 😳 https://t.co/1aYvnOvpT8;negative
796511865891389441;omgth ins simpson predict year ago electionresult;RT @Sophie_Choudry: OMG...This is insane!! #Simpsons predicted this years ago!!!!😱😱 #Trump #ElectionResults https://t.co/dEZDeCVH6E;negative
796512000440291328;think saf say celebr endors polit efect folow cli…;RT @DarrenMole: I think we can safely say celebrity endorsements to politicians, is about as effective as a Follow Friday #ff 😳 #Trump #Cli…;negative
796512066685304832;por barontrump bed presidenttrump;RT @J_KnightNY: Poor #BarronTrump. He should be in bed 😴 #trump #PresidentTrump;negative
796512044510048256;cant believ americ pref ak pusygrab instead;I can't believe that America prefers #trump aka pussygrabber instead of #Clinton 😞;negative
796512140005773312;ooh hap;RT @NicolaAdamsMBE: Ooooohhh so this is how it happened #Trump 😳 https://t.co/1aYvnOvpT8;negative
796512092786343936;on election2016;RT @FootballFunnys: Best one 😂😂😂😂 #Election2016 #Trump https://t.co/AkOsb0XNGu;positive
796512082988396544;anyon remind pol expert no_t giv day job uselect;RT @DarrenMole: If anyone can remind these polling experts not to give up their day job 😳 #Trump #USelection 🇺🇸🇬🇧;negative
796512155973652480;donald presid job lol goforit nightm rip americ;RT @Saamskii1: Go for it 😂😂😂 #DonaldTrump #donald #trump #president #jobs #lol #goforit #nightmare #rip #america https://t.co/cH7NDtdU60;positive
796512348060139520;presid usahapydonald trumpth end near electionday τραμπ uselection2016;New President of Usa:Donald Trump...THE END IS NEAR 😠😤😠 #ElectionDay #Τραμπ #USElection2016;negative
796512337914105858;car wish mag elect;Careful what you wish for @iamjohnoliver ! 😂😂😂 https://t.co/zX5Hex6JBW  #Trump #MAGA #Election;positive
796512492927193088;kno_w lil wayn vot;We know who lil wayne voted for 😂😂 #Trump;positive
796512521377103872;get read jailwil put word act trumppresid;#Hilary get read to go to #Jail...,😂will #Trump put his words into action....!!   #TrumpPresident;positive
796512693515472896;breakinghapy cold interupt raly electionday;RT @Sporf: BREAKING: Stone Cold interrupts the Donald Trump rally. 😂 #ElectionDay (📽 @thrillis4) https://t.co/zJZAmoHlNY;positive
796512787816185856;everyon plz leav alon presid no_w get jeal trumpwin trumpresid imstilwithh;Everyone plz Leave #Trump Alone he is President now y u all are getting jealous 😋 #trumpwins  #TrumPresident #ImStillWithHer 😜😜😜;positive
796512781818281984;nono_no said p-p-p word *rips wad hair* cabinet;RT @zanneslaw: No....no...NO!!! You said the p-p-P word!!! *Rips out wad of hair* 😵 #Trump #Cabinet https://t.co/0IsB5mCzmU;negative
796512760699883520;sory am couldnt resist trump2016 electionresult sbarackobam;RT @emanuelaneri14: Sorry Americans...🙊🙈🙉 I couldn't resist!!! 😅😂  #Trump2016 #Trump #ElectionResults #sbarackobama https://t.co/fYBkDFkXew;positive
796512815985127424;againit bet devil kno_w angel dont 2016;But then again..it's better the devil you know than the angel you don't. .#Trump 2016  😂😂;positive
796512881760239620;manequin chaleng stc cono_r demdawg manequinchaleng worldst;RT @DemDawg_: Mannequin Challenge At STC! 😹🤘🏾😈 #Trump #Connor #DemDawgEnt. #MannequinChallenge #WorldStar https://t.co/gfO30hNtuS;positive
796512870670434304;block presid americ twit amnesty election2016;RT @baghdadinvest: Blocked by the president of America!  Twitter amnesty @realDonaldTrump?  😂🇺🇸😂  #Election2016 #Trump https://t.co/5cvHkIl…;positive
796513012307869696;gue mean wil no_ short mat next year;I guess this means @Trevornoah & @TheDailyShow will have no shortage of material for the next 4 years 😂 #Trump;positive
796513130012610560;muslimbrotherhodhapy vict ‘disaster’;RT @HosamDakhakhni: #MuslimBrotherhood: #Trump victory a ‘disaster’ https://t.co/hrqXuWjg1e 😂😂😂;positive
796513399354097664;also wan thank yal rea yal best no_w presid maga3x;I also wanna thank @gogreen18 and @tyleroakley y'all really did yalls best and now we have a #Trump presidency 😁 #MAGA3X;positive
796513495441350656;dont want anyth hap wed get presid;RT @tpabob46: @Politics_PR Also, don't want anything to happen to #Trump because then we'd get President Pence 😱;negative
796513493360877568;gif election2016;RT @messi10stats: What a gif 😂😂😂😂 #Election2016 #Trump https://t.co/UF2xNWwsbs;positive
796513476776558592;list msnbc rant wil ter leaer-mind read thought would win;Love listening to #MSNBC ranting about how #Trump will be a terrible leaer-mind readers? No - you all thought #Hillary would win 😂😂;positive
796513616832987136;supos sery twet instead laugh aloud cruel expres;Suppose to it seriously and tweet about #Trump ,but instead I laughed aloud on his cruel expressions.😂😂;positive
796513677801377792;today sad day specia mexico ricardocavolo mexico muro wal ilust art;RT @RicardoCavolo: Today is a sad day specially for Mexico 🔥😓🔥 #ricardocavolo #mexico #muro #wall #trump #illustation #art https://t.co/Ra7…;negative
796513665310564352;cold met presid stonecold stonecoldsteveaustin trump…;When Stone Cold met the president 😳😂🙌🏾🙌🏾  #stonecold #what #stonecoldsteveaustin #what #trump… https://t.co/4qfHnXVZct;negative
796513785200701440;wil last twet cnt son cnts peopl vot cnts fu…;RT @_AnimalAdvocate: This will be my last tweet about #Trump.  He is a C😡NT!  His sons! C😡NTs  The people who voted for him! C😡NTs!  The fu…;negative
796513942612766720;wok morn find racisthatefulopres whit person vot someon pls pray no_ clu;I woke up this morning 2 find out I'm a racist,hateful,oppressive white person 4 voting 4 #Trump someone pls #pray 4 me as I had no clue!😜;positive
796514069029195776;<lol lol dil hapy bij sdf resist invas mtga;@agirecudi <= LOL at dills ;) Biji #Trump + #SDF Resistance against #TR invasion 😄✌ #MTGA;positive
796514055687176192;trump’s trumppresid cancela2016 elections2016 electionday notmypresid kind;RT @UAVPILOT07: + #Trump’s  #TrumpPresident  #Cancela2016  #Elections2016  #ElectionDay  #NotMyPresident  😄😄kind of !! https://t.co/04L7YFC…;positive
796514183256870913;lost popul vot elect vot team;@demiweer2 @ohkaysiierraa he lost the popular vote ... he won by electoral votes 😂 but im team #trump;positive
796514246968352768;next presid unit stat americ rts womenfortrump;RT @RedRising11: When the NEXT 🇺🇸 PRESIDENT OF THE UNITED STATES OF AMERICA 🇺🇸 @realDonaldTrump RT's you 😳👊🏻💃🏻 #WomenForTrump #Trump🚂 https…;negative
796514327591317508;surpr 72% no_n-colege educ whit men back shock whit wom vot though;Not surprised 72% non-college educated white men backed #Trump. I'm shocked that white women voted for him though. 😣 https://t.co/Rqy5TfYj1U;negative
796514392460378112;transl ancoult giv congr putin rig elect giv stat didnt rea winwin…;RT @twinsational: TRANSLATION👉 #AnnCoulter give congrats to #Putin for rigging the election, giving #Trump States he didn't really win.😉Win…;positive
796514349284229122;pleas dont let anyth hap trump wors themorningaft imstilwith lgbt humanright;Please dont let anything happen to #trump...#pence is worse. 😣#TheMorningAfter #imstillwithher #lgbt #humanrights @HRC;negative
796514339150761984;omgth ins simpson predict year ago electionresult;RT @Sophie_Choudry: OMG...This is insane!! #Simpsons predicted this years ago!!!!😱😱 #Trump #ElectionResults https://t.co/dEZDeCVH6E;negative
796514468742234116;would lik think maj despair pot ap no_t sad imens timewiltel;In the UK I would like to think we're majorly despairing of #Trump #POTUS but apparently not. This saddens me immensely 😔#timewilltell;negative
796514466892369920;next presid unit stat americ rts womenfortrump;RT @RedRising11: When the NEXT 🇺🇸 PRESIDENT OF THE UNITED STATES OF AMERICA 🇺🇸 @realDonaldTrump RT's you 😳👊🏻💃🏻 #WomenForTrump #Trump🚂 https…;negative
796514534580166657;lik novemb 9th evil;RT @ArminianShaggy: Like, this is me on November 9th! 😁 #Trump #Clinton #evil https://t.co/O7o2fHLVUE;positive
796514527328276482;wil last twet cnt son cnts peopl vot cnts fu…;RT @_AnimalAdvocate: This will be my last tweet about #Trump.  He is a C😡NT!  His sons! C😡NTs  The people who voted for him! C😡NTs!  The fu…;negative
796514516720873472;disapoint learn mcal suport disilud;So very disappointed to learn that David MCCallum is a #Trump supporter. #disillusioned 😢;negative
796514545573318656;cold met presid stonecold stonecoldsteveaustin trump…;When Stone Cold met the president 😳😂🙌🏾🙌🏾  #stonecold #what #stonecoldsteveaustin #what #trump… https://t.co/ocleSckZbk;negative
796514740449214464;tear sal hilaryclinton redneck chevy dip mud countryrap…;RT @MiniThin: Hillary tears 😭 for sale? #trump #hillaryclinton  #redneck #chevy #dipping #mudding #countryrap… https://t.co/tDbCNU7HGw;negative
796514817439887360;dear pleas dont send hom wev no_ romw brexit;Dear Donald #Trump , please don't send all the Irish home. We've no room..we have all the English 😃😃 #brexit;positive
796514811987329025;today sad day specia mexico ricardocavolo mexico muro wal ilust art;RT @RicardoCavolo: Today is a sad day specially for Mexico 🔥😓🔥 #ricardocavolo #mexico #muro #wall #trump #illustation #art https://t.co/Ra7…;negative
796514781708460032;breakinghapy cold interupt raly electionday;RT @Sporf: BREAKING: Stone Cold interrupts the Donald Trump rally. 😂 #ElectionDay (📽 @thrillis4) https://t.co/zJZAmoHlNY;positive
796514914185547776;trump’s trumppresid cancela2016 elections2016 electionday notmypresid kind;RT @UAVPILOT07: + #Trump’s  #TrumpPresident  #Cancela2016  #Elections2016  #ElectionDay  #NotMyPresident  😄😄kind of !! https://t.co/04L7YFC…;positive
796515444916154372;wond fuck wrong latin am vot rea big id problem;I wonder what the fuck is wrong with the latin americans who voted for #Trump ?, You all have really big identity problems... 😒;negative
796515506782142465;mad turn think would tak slepwalk;@madchenamick   So, Mads,  what if #Trump turned into Charles Brady?  I think Clovis would take 'em both down! 😉👍🏻 #Sleepwalkers;positive
796515565057798144;gif election2016;RT @messi10stats: What a gif 😂😂😂😂 #Election2016 #Trump https://t.co/UF2xNWwsbs;positive
796515541397700608;today sad day specia mexico ricardocavolo mexico muro wal ilust art;RT @RicardoCavolo: Today is a sad day specially for Mexico 🔥😓🔥 #ricardocavolo #mexico #muro #wall #trump #illustation #art https://t.co/Ra7…;negative
796515536825880576;next presid unit stat americ rts womenfortrump;RT @RedRising11: When the NEXT 🇺🇸 PRESIDENT OF THE UNITED STATES OF AMERICA 🇺🇸 @realDonaldTrump RT's you 😳👊🏻💃🏻 #WomenForTrump #Trump🚂 https…;negative
